Date,SKUCode,ProductDescription,Commodity,ProductGroup,LocationCode,LocationType,InventoryOnHand,Inbound_ExpectedQty,Inbound_ReceivedQty,TransfersInExpected,TransfersInReceived,TotalSupply,GoodSalesShipping,Demand_OriginalQty,Demand_OutstandingQty,Donations,TransferShippingOut,Net_Position,Shortage_Flag,NetAvailable
2026-03-16,RTBB1007,Beefsteak - 15lb 22ct Beef No1,Beefsteak,BB,DIRECT,DC,0.0,180.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0,0.0
2026-03-16,RTBB1007,Beefsteak - 15lb 22ct Beef No1,Beefsteak,BB,MPL1,MPL,0.0,90.0,90.0,0.0,0.0,0.0,0.0,270.0,180.0,0.0,0.0,90.0,0,0.0
2026-03-16,RTBB1007,Beefsteak - 15lb 22ct Beef No1,Beefsteak,BB,MPL2_INV,MPL,0.0,733.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,0,0.0
2026-03-16,RTBB1007,Beefsteak - 15lb 22ct Beef No1,Beefsteak,BB,MPL3,MPL,0.0,249.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,0,0.0
2026-03-16,RTBB1007,Beefsteak - 15lb 22ct Beef No1,Beefsteak,BB,MPL6-B,MPL,0.0,1072.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0,0.0
2026-03-16,RTBB1007,Beefsteak - 15lb 22ct Beef No1,Beefsteak,BB,MPL8,MPL,0.0,720.0,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,0,0.0
2026-03-16,RTBB1010,Beefsteak - 15lb 32ct Beef No1,Beefsteak,BB,MPL1,MPL,0.0,270.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,0,0.0
2026-03-16,RTBB1010,Beefsteak - 15lb 32ct Beef No1,Beefsteak,BB,MPL2_INV,MPL,0.0,645.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,0,0.0
2026-03-16,RTBB1010,Beefsteak - 15lb 32ct Beef No1,Beefsteak,BB,MPL6-B,MPL,0.0,567.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.0,0,0.0
2026-03-16,RTBB1010,Beefsteak - 15lb 32ct Beef No1,Beefsteak,BB,MPL8,MPL,0.0,630.0,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630.0,0,0.0
2026-03-16,RTBB1012,Beefsteak - 15lb 35ct Beef No1,Beefsteak,BB,MPL1,MPL,0.0,450.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,0,0.0
2026-03-16,RTBB1012,Beefsteak - 15lb 35ct Beef No1,Beefsteak,BB,MPL6-B,MPL,0.0,809.0,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630.0,0,0.0
2026-03-16,RTBB1015,Beefsteak - 15lb 39ct Beef No1,Beefsteak,BB,MPL1,MPL,0.0,810.0,810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810.0,0,0.0
2026-03-16,RTBB1015,Beefsteak - 15lb 39ct Beef No1,Beefsteak,BB,MPL6-B,MPL,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-16,RTBB1017,Beefsteak - 15lb 42ct Beef No1,Beefsteak,BB,MPL6-B,MPL,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-16,RTBB1018,Beefsteak - 15lb 45ct Red No1,Beefsteak,BB,MPL1,MPL,0.0,990.0,990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,990.0,0,0.0
2026-03-16,RTBB1018,Beefsteak - 15lb 45ct Red No1,Beefsteak,BB,MPL6-B,MPL,0.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-16,RTBB1023,Beefsteak - 15lb 25ct Beef No1,Beefsteak,BB,DIRECT,DC,0.0,900.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0,0.0
2026-03-16,RTBB1023,Beefsteak - 15lb 25ct Beef No1,Beefsteak,BB,FRE-AB,Unknown,0.0,540.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,0,0.0
2026-03-16,RTBB1023,Beefsteak - 15lb 25ct Beef No1,Beefsteak,BB,MPL1,MPL,0.0,270.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,0,0.0
2026-03-16,RTBB1023,Beefsteak - 15lb 25ct Beef No1,Beefsteak,BB,MPL2_INV,MPL,0.0,1560.0,754.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,754.0,0,0.0
2026-03-16,RTBB1023,Beefsteak - 15lb 25ct Beef No1,Beefsteak,BB,MPL3,MPL,0.0,452.0,452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452.0,0,0.0
2026-03-16,RTBB1023,Beefsteak - 15lb 25ct Beef No1,Beefsteak,BB,MPL6-B,MPL,0.0,1568.0,1308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1308.0,0,0.0
2026-03-16,RTBB1023,Beefsteak - 15lb 25ct Beef No1,Beefsteak,BB,MPL8,MPL,0.0,960.0,960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.0,0,0.0
2026-03-16,RTBB1023,Beefsteak - 15lb 25ct Beef No1,Beefsteak,BB,MPL9,MPL,0.0,270.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,0,0.0
2026-03-16,RTBB1028,Beefsteak - 8x6ct Beef Clam No1,Beefsteak,BB,DIRECT,DC,0.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0,0.0
2026-03-16,RTBB1028,Beefsteak - 8x6ct Beef Clam No1,Beefsteak,BB,MPL2_INV,MPL,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0,0.0
2026-03-16,RTBB1028,Beefsteak - 8x6ct Beef Clam No1,Beefsteak,BB,MPL3,MPL,0.0,195.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,0,0.0
2026-03-16,RTBB1028,Beefsteak - 8x6ct Beef Clam No1,Beefsteak,BB,MPL6-B,MPL,0.0,88.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0,0.0
2026-03-16,RTBB1028,Beefsteak - 8x6ct Beef Clam No1,Beefsteak,BB,MPL8,MPL,0.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0,0.0
2026-03-16,RTBB1030,Beefsteak - 12x4ct 16oz Beef Clam No1,Beefsteak,BB,MPL2_INV,MPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0.0
2026-03-16,RTBB1030,Beefsteak - 12x4ct 16oz Beef Clam No1,Beefsteak,BB,MPL6-B,MPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-16,RTBB1036,Beefsteak - 15lb 30ct Beef No1,Beefsteak,BB,MPL1,MPL,0.0,270.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,0,0.0
2026-03-16,RTBB1036,Beefsteak - 15lb 30ct Beef No1,Beefsteak,BB,MPL6-B,MPL,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-16,RTBB1060,Organic Beefsteak - 15lb ORG Beef 22-28ct No1,Organic Beefsteak,BB,MPL2_INV,MPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0,0.0
2026-03-16,RTBB1061,Organic Beefsteak - 12x2ct ORG Beef Clam No1,Organic Beefsteak,BB,MPL6-B,MPL,0.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0,0.0
2026-03-16,RTBB1071,Beefsteak - 12x4ct KRO Beef Clam No1,Beefsteak,BB,MPL6-B,MPL,0.0,140.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0,0.0
2026-03-16,RTBB1075,Beefsteak - 15lb 16ct Beef No1,Beefsteak,BB,MPL2_INV,MPL,0.0,49.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0,0.0
2026-03-16,RTBB1075,Beefsteak - 15lb 16ct Beef No1,Beefsteak,BB,MPL6-B,MPL,0.0,16.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0,0.0
2026-03-16,RTBB1076,Beefsteak - 15lb 18ct Beef No1,Beefsteak,BB,MPL1,MPL,0.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0,0.0
2026-03-16,RTBB1076,Beefsteak - 15lb 18ct Beef No1,Beefsteak,BB,MPL2_INV,MPL,0.0,273.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0,0.0
2026-03-16,RTBB1076,Beefsteak - 15lb 18ct Beef No1,Beefsteak,BB,MPL6-B,MPL,0.0,229.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,0,0.0
2026-03-16,RTBB1076,Beefsteak - 15lb 18ct Beef No1,Beefsteak,BB,MPL8,MPL,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0.0
2026-03-16,RTBB1077,Beefsteak - 15lb 20ct Beef No1,Beefsteak,BB,MPL1,MPL,0.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0,0.0
2026-03-16,RTBB1077,Beefsteak - 15lb 20ct Beef No1,Beefsteak,BB,MPL3,MPL,0.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0,0.0
2026-03-16,RTBB1077,Beefsteak - 15lb 20ct Beef No1,Beefsteak,BB,MPL6-B,MPL,0.0,240.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0,0.0
2026-03-16,RTBB1077,Beefsteak - 15lb 20ct Beef No1,Beefsteak,BB,MPL8,MPL,0.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0,0.0
2026-03-16,RTBB1078,Beefsteak - 15lb 14ct Beef No1,Beefsteak,BB,MPL2_INV,MPL,0.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0,0.0
2026-03-16,RTBB1078,Beefsteak - 15lb 14ct Beef No1,Beefsteak,BB,MPL6-B,MPL,0.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0,0.0
2026-03-16,RTBB1078,Beefsteak - 15lb 14ct Beef No1,Beefsteak,BB,MPL8,MPL,0.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0,0.0
2026-03-16,RTBB1088,Beefsteak - 15lb 16-35ct Beef WM No1,Beefsteak,BB,DIRECT,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
